Semester,Club,Past Members,New Members,Total Members,Event Attendance
1,Club 1,0,37,37,17
1,Club 2,0,38,38,18
1,Club 3,0,30,30,10
1,Club 4,0,49,49,19
1,Club 5,0,42,42,32
1,Club 6,0,31,31,21
1,Club 7,0,30,30,13
1,Club 8,0,40,40,32
1,Club 9,0,39,39,34
1,Club 10,0,47,47,35
2,Club 1,37,32,69,39
2,Club 2,38,37,75,38
2,Club 3,30,49,79,12
2,Club 4,49,49,98,97
2,Club 5,42,38,80,26
2,Club 6,31,33,64,51
2,Club 7,30,42,72,59
2,Club 8,40,49,89,77
2,Club 9,39,38,77,30
2,Club 10,47,33,80,17
3,Club 1,69,41,110,101
3,Club 2,75,38,113,85
3,Club 3,79,33,112,19
3,Club 4,98,37,135,74
3,Club 5,80,38,118,65
3,Club 6,64,44,108,67
3,Club 7,72,48,120,81
3,Club 8,89,43,132,27
3,Club 9,77,40,117,99
3,Club 10,80,48,128,89
4,Club 1,110,32,142,58
4,Club 2,113,45,158,122
4,Club 3,112,37,149,55
4,Club 4,135,42,177,49
4,Club 5,118,48,166,134
4,Club 6,108,48,156,155
4,Club 7,120,39,159,98
4,Club 8,132,44,176,123
4,Club 9,117,31,148,123
4,Club 10,128,47,175,127
